Tweets	Compound	Analysis
The #astrazeneca vaccine I don't want it because! Only the #Pfizer I will carry with me! and if # covid19 then I will cripper, ... 	-0.2037	Negative
_ See that I have a certain knowledge of the cause when I say that the vaccine against Covid19 I don't do it. 🤷♀️ 	0.2732	Positive
The # Covid19 pandemic will only end when access to the vaccine will be indiscriminate. , we count on ... 	0.0	Neutral
In no country in the world is charged x the vaccine against # Covid19, and #Peru should not be the exception. ... 	-0.4588	Negative
"The post by Asia Iurlo, 25 years old: ""A small injection to remind my immune system how to respond to Q ... "	0.296	Positive
Tuscan vaccine 	0.0	Neutral
pfizer/biontech vaccine appears effective against mutation in new coronavirus variants. 	0.4767	Positive
The vaccine requires two administrations at a distance of 28 days; The immunity can be reached about 15 days after ... 	0.1027	Positive
load, aim, fire! received my covid-19 jab today. the more shots against the enemy, the less additional casualties w… 	-0.7345	Negative
It seems that the Pfizer vaccine is also effective against the UK # Covid19 variant ... 🤞 	0.4767	Positive
vaccine  done!!! #covid19vaccine #covid19 	0.0	Neutral
Italy, to date, is second (in EU) only to Denmark by number of vaccines administered. ... 	0.0772	Positive
uae team emirates given covid-19 vaccine during training camp 	0.0	Neutral
#Boonadomenica #Lazio #NotturnoDicitta #Roma Piazza #navona Walking at this time! # Covid19 # pfizer ... 	0.0	Neutral
To the managers, starting from the parents masked maschati, I hope the hell itself: it is useless to say that the vaccine to ... 	-0.6705	Negative
Question to #Covidioti: if for the flu, which always #coronavirus is, every year the new vaccine comes out ... 	-0.3818	Negative
Merck interrupts vaccine program against Covid-19 	-0.3182	Negative
After the vaccine exit it is necessary to stop making doors ... 	-0.296	Negative
But that's enough with I'm vaccines. Therefore they don't need anything 	0.0	Neutral
But can you? Line in the cold, in the rain, to be administered the Anti Covid19 vaccine? 	-0.3939	Negative
moderna is working on a vaccine booster for a new variant 	0.0	Neutral
I'm a mess for a normal influence. The vaccine will not work, like or ... 	-0.5588	Negative
as the vaccine rollout continues apace and we have now learned that we are unlikely to transmit it, we need to go b… 	0.0	Neutral
"With dragons a new phase opens: I hope they stop terrifying to sell vaccines. ""2, 6 million victims ... "	-0.6486	Negative
pacific leaders met this week to discuss vaccine access, recovery from covid-19 and the ongoing threat of climate c… 	-0.5267	Negative
All you wanted to know about vaccines and patents and you didn't have the courage to ask, you explained ... 	-0.3875	Negative
"Coronavirus, USA exceed 450 thousand dead. UK, ""There are 4 thousand variants in the world. Manufacturers of vaccines to work for GA ... "	-0.6486	Negative
The pharmaceutical company #SastraZeneca is working on a more effective vaccine. (They had not expected the Covid ... 	0.5256	Positive
5 deaths, 65 positive to the molecular and 175 to the antigenic. The hospital will still fall. another 285 healed. vaccines to ... 	0.5574	Positive
"""We have a lot of doses, especially those of #astrazeneca is not just our problem eh but it takes access ... "	0.1603	Positive
The vaccine rhetoric is really too much, for our endurance. 	0.0	Neutral
the greatest dolly parton getting her covid-19 vaccine and singing about it to encourage others. how not to love he… 	0.6288	Positive
"# Pelé -80 years - She showed her emotionally after receiving the anti-Covid11 her appeal vaccine: ""Let us help ... "	0.4019	Positive
kenya joining rwanda and ghana receiving covax vaccine. congratulation! the national plan is approved.… 	0.636	Positive
vaccines, the European parliamentarian that accuses von der Leyen: 'Because the EU bored with Big Pharma ... Via 	-0.5423	Negative
Priority in vaccines? We rely on the algorithm ...: the Department of Statistics of the Milan Bicocca University has ... 	0.0	Neutral
#Vaccino booked !! # Covid19 to us two! on guard !! I'll wait for you on March 21st! #vaccinoanticovid #vaccination #pfizerbiontech 	0.0	Neutral
ema’s safety committee continues investigation of covid-19 vaccine astrazeneca and thromboembolic events – further… 	0.4215	Positive
The British had 700 deaths a day more than us. Today 200 a day less than us. In between they used the vaccine ... 	0.0	Neutral
However, the vaccines in circulation are more victims. And we can still know how to ... 	-0.3804	Negative
The #vaccino #astrazeneca is condemned. Imagine that the #pianovaccine of #figliolo will be reshaped with what's there: ... 	-0.4404	Negative
But those who invoke the #Rischiozero on vaccines are the same as they invoke #Schiazero to # Covid19 and then ... 	0.0	Neutral
Thursday they vaccinated with #astrazeneca. Technically I'm also suspended until the new order? 🤷 Così organizes ... 	-0.4767	Negative
Coronavirus, in Rome 777 new cases: the data of 16 March. The administrations of vaccines fall 	0.0	Neutral
We had more vaccines immediately, many of the 502 Italians died today would still be with us. how many you die ... 	-0.8176	Negative
How many hundreds of millions of doses of #astrazeneca must be injected to have the 502 deaths of # Covid19 today ... 	0.0	Neutral
Clear #astrazeneca # Covid19 	0.3818	Positive
Volunteerity of the vaccine, to be behind list enrollment, and vaccinal passport. quickly, to get out of it ... 	0.0	Neutral
While telling senseless fools on vaccines, the # Covid19 is ports to street, today, another 502 Italians.ricordatevel ... 	-0.4939	Negative
european regulator 'convinced' benefits of az vaccine outweigh risks as suspensions continue.on tuesday, cyprus, l… 	0.128	Positive
.. They are paving the way to the influenza vaccine of every year to come .. ... 	0.0	Neutral
Austria, EU lattita. Summit with Bulgaria, Croatia, Latvia, Slovenia and Czech Republic for Piano vaccines: It's Neces ... 	0.0	Neutral
from . Explain to me why I should trust the # Covid19 vaccine .. ... 	0.5106	Positive
Do you want to do the vaccine even to children? 	0.0772	Positive
But if we don't even know if he goes well with the vaccine we now want to make a happy one? 	0.7269	Positive
Reservations for the Anti Covid-19 vaccine - clarifications via abruzzo 	-0.3182	Negative
"""For the few doses you arrive the vaccine plane is working, there have been reassuring things others that would ... "	0.4019	Positive
_vukolova ...but when i create the videos, i get screenshots, and then, i cut the top and bottom parts of t… 	0.2023	Positive
ok ... let's go to vaccine ✌✌✌ # vaccine # covid19 #pfizer 	0.296	Positive
great news!22 days after just the first dose of  / _group #vaccine against #covid19, my serology… 	0.6588	Positive
I had read the novax vaccine 	0.0	Neutral
On January 29, 2021, in #USA the total number of people who received at least one vaccine dose exceeded ... 	0.0772	Positive
safety and efficacy of the bnt162b2 mrna covid-19 vaccine | nejm 	0.4215	Positive
#Covid cure home you can and you have to! The vaccine is not the solution! _claudio What do you think? 	-0.3707	Negative
johnson &amp; johnson covid-19 vaccine is 66% effective in global trial, but 85% effective against severe disease, comp… 	0.4215	Positive
Reithera, how the Italian vaccine participated by the State works - Il Sole 24 Ore 	0.0	Neutral
✅ Free Via #Ema a vaccine #astrazeneca for people with + 18years 	0.5106	Positive
Go ahead from #Ema al #Vaccino #astrazeneca for all classes aged over 18 years. # vaccinanticovid ... 	0.0	Neutral
With the autarchical vaccine we will break the kidneys to the Covid-19 and its variants. 🤔 	0.0	Neutral
# Olis # covid19 #astrazeneca 	0.0	Neutral
Oh finally, a zero risk vaccine cannot exist! Let's face it. It is always a risk / benefit ratio. 	-0.126	Negative
🦠  in response to a spike in covid-19 cases in papua new guinea, australia is sending vaccines, medical pers… 	0.0	Neutral
With vaccines you make geopolitics. The mess that is emerging with the block of Astrazeneca recommended by the Germ ... 	-0.5574	Negative
The time has arrived to study a universal vaccine against Coronavirus away 	0.0	Neutral
Noteworthy news. Everything will be fine (for those who come vaccine and for the next generation) 	0.2023	Positive
by force, a nice pose in tears, a well-studied shot, please choose light and position then ... 	0.4939	Positive
The Lombard company that will produce the Russian Anti Covid Sputnik vaccine 	-0.3182	Negative
# Covid19 #Vaccino daily terrorism continues, if you vaccine nothing changes. Armchairs and the dilaga incompetence run 	-0.836	Negative
#covid #covid19 #covid_19 #covidー19 #covidvaccine #partiteiva #lockdown. #twitter   #new… 	0.0	Neutral
variants and vaccines, the new indications of the ISS 	0.0	Neutral
i would go for the #vaccineright now, if it was possible. without people refusing it, when will it be my time to ge… 	0.3089	Positive
I tell you, if you had the pure as the virus of what you have from the vaccine, at this time we would be in car ... 	0.0	Neutral
"#Ciarciardi at # Skytg24 said: ""If the doctors want immunity, it means that the vaccine is dangerous"". # Covid19 "	0.0772	Positive
Which recriminates against pharmaceutical houses on vaccines is pathetic. We did the negotiation from ... 	-0.5719	Negative
Ah well if the benefits are more than risks it does nothing! for long-term ones? # Covid19 #vaccinoanticovid # vaccine ... 	0.3846	Positive
education,education,education that's the vaccine against covid19.... 	0.0	Neutral
The power of science. Those who still say that the vaccine is useless, well read the results. the data. Numbers that don't ... 	-0.1779	Negative
Viola, Rai3: The Pfizer vaccine is effective against the Brazilian variant # Covid19 (AstraZeneca seems no) 	0.4767	Positive
_soleil you did.good. i mean well.done.a vaccine is.a vaccine,a prevention.admn… 	0.0	Neutral
The right is shameless, here in Lombardy the flu vaccine is ... 	-0.6124	Negative
#Fontiuffisti #nofakenews # Finally # vaccine for our #neapers are those who built Italy in ... 	0.0	Neutral
When they make the vaccine for the Covid Covid19 #covid #Vaccinoanticovid #wuhan 	0.0	Neutral
First they said no to the ultrasessants, now that they don't have vaccines it's fine too #astrazeneca 	-0.1027	Negative
The Covid19 vaccine experienced on the population is not safe and not from safe immunity. For this many doctors do not ... 	-0.5875	Negative
Get from me that I show you the second dose of the vaccine # Covid19 	0.0	Neutral
data from a preprint suggest that the mrna from anti-covid vaccines is not detected in human breast milk and theref… 	0.0	Neutral
Today a patient who is in Cuba wrote to me and told me they did the vaccine. Oh yeah # Covid19 #Vaccination 	0.296	Positive
thank you great women and I have to one of them the vaccine they made me 	0.765	Positive
In our newsletters: Expected in the afternoon of the opinion on the vaccine against the # Covid19 _19 by Johnson & amp; Johnso ... 	0.0	Neutral
#Toti was hired by health? Why doesn't write that we are back with vaccines? that we have 342 new cases and ... 	0.0	Neutral
trump takes credit for 'china virus' vaccine: 'i hope everyone remembers!'former president trump touted hisadmini… 	0.68	Positive
_anda but that's what he said on TV that the masks were useless? Without vaccines, without treat protocol for ... 	-0.319	Negative
Coronavirus in the world: USA, Biden orders another 100 million vaccine doses. More and more alarm in Latin America ... 	-0.4509	Negative
sorry but it is not better a cure to a vaccine and people do their antibodies? It's from a ... 	-0.5038	Negative
After Switzerland, Denmark, South Africa also Italy suspends vaccination with #astrazeneca. were they all sure no? who… 	0.0258	Positive
_angel_dj just thinking that you have to vaccinate .. it is aged .. # vaccine # covid19 #deejay #anticovid # ... 	0.0	Neutral
Who cares about certain adverse events is a real constriction actually ??? # Covid19 #covid # vaccine ... 	0.4836	Positive
#Staseraitalia dead of Covid19 and now also with vaccines? Italy in poop 	-0.6486	Negative
Visited now on the electronic healthcare dossier that after tomorrow I have the appointment for the vaccine. Well a little anxiety ... 	0.1761	Positive
But the vaccine where you are in ... Ocula? 	0.0	Neutral
novavax, a biotech company based in maryland, announced today that its two-dose vaccine was 96% effective against t… 	0.4767	Positive
hey boys hey girls at _commission we’re running late in vaccine campaign:#usa #uk and #israel could ease restric… 	0.3612	Positive
Belle News #pfizervaccine #variantiinglese # Covid19 	0.0	Neutral
'Porti a vaccine in Florence' is the communication campaign of the anti-covid19 vaccination. Obie ... 	0.0	Neutral
genuine question..if the vaccine doesn't completely prevent transmission of covid, why are governments talking abo… 	-0.0749	Negative
He murmured that the #Lombardia was inhabited only by 80-year-old people and passes # vaccine #civorerelabeunidea # Covid19 	0.0	Neutral
Inauguration Hub Vaccini Covid-19 to Agrigidoi our volunteers, received the first dose of vaccine @ Palac ... 	0.0	Neutral
I wanted you well and are pro vaccines, but now it seems right that not a stop 🤚 # vaccine #astrazenaca #covid 	0.4371	Positive
The only vaccine against Covid-19 is the impeachment of Bolsonaro (there is no other output) 	-0.296	Negative
On the one hand some punish #astrazeneca because partly British (therefore brexit) and partly Swedish (so mo ... 	-0.0516	Negative
Efficacy of the Pfizer-Biontech vaccine against variants 	0.0	Neutral
In Italy the hashtag #astrazenaca explodes but is it a pointer or is it just another vaccine? someone has understood if it is more and ... 	0.0	Neutral
Precautionary suspension vaccine #astrazeneca # covid19 #vaccino #aifa @ borgosatollo 	0.0	Neutral
For once I Retwitto # vaccine # Covid19 	0.0	Neutral
So it seems that in Italy and in Europe in the last week there has been an epidemic of #astrazeneca who has a supplant ... 	0.0	Neutral
interesting readcovid-19 vaccine-exports stories#export dei vaccini   via 	0.4019	Positive
Where is who, a few days ago, he told me with a peek that #israele provided the #vaccines to the #palestina? Israel has ... 	0.0	Neutral
Belgium also plays the joker # sars_cov_2 # covid_19 #belgio #astrazeneca 	0.3612	Positive
Tomorrow I should have received the vaccine against # Covid19 here in Italy. This afternoon the SMS arrived by warning that ... 	-0.34	Negative
OK Reassure #professor #giovanness. But it can be that #SastraZeneca is not delivering vaccines because Hann ... 	0.6523	Positive
"Usually article of shit of #guerzoni who speaks of ""antidote"" ""patent oxford"". #astrazeneca # sars_cov_2 # covid19 "	-0.5574	Negative
If you don't vaccine, the virus is you! # Covid19 	0.0	Neutral
The fantomatic vaccine #sputnik will be produced in Lombardy. But what joy. There are three vaccines already authorized by ... 	0.5859	Positive
Sensitization sensitizing the #vaccines to Vacciniin #Italia: in ... 	0.0	Neutral
#sputnikv will be produced in #Italia starting from July 2021 compliments to # Covid19 # vaccines ... 	0.4019	Positive
Come on, last night you shot big # Covid19 # Emergency #diftatura 	-0.3818	Negative
Because you don't say you have mistaken, and we leave very simply with flocked vaccines and the way for u ... 	-0.4019	Negative
But is there an explanation to this swirling trend in vaccine administration? yesterday 58k today 250k ... 	0.0	Neutral
✅ First dose of vaccine made! We hope it can be that small light at the end of the tunnel in which we hope so much ... 	0.7263	Positive
Coronavirus: updates on Contagi and vaccines 	0.0	Neutral
