Tweets	Compound	Analysis
"The vaccine of a thousand people is postponed by ""a logistics error"" _ser #murcia #coronavirus "	-0.5423	Negative
The long awaited day came! ! ️Ya I have the first dose of the vaccine # covid19 set! ️🦠 More and less, ... 	-0.2444	Negative
Without doubting that it is true, it costs work to believe that it can happen. The dose of vaccine are 0.3 ml and the vial complexion ... 	0.5908	Positive
We will see who runs more, if the vaccines or the imbecility of people. 	0.0	Neutral
92% of Navarrers over 60 have already received at least one dose of the vaccine. 	0.0	Neutral
A total of 13,797,431 people have received at least one dose of the coreavirus vaccine in Spain, on 29 ... 	0.0	Neutral
Based on vaccines, vaccines and more vaccines. The plan to delay the second dose, at least in the short term, has given them ... 	-0.3182	Negative
Berlin and Munich suspend vaccination with Astrazeneca after death by 9thrombosis of 9 immunized 	-0.7351	Negative
On December 27, the first vaccine against the Covid-19 was put in Spain.95 Days of Management of Vacu ... 	0.0	Neutral
The Washington Post: Against all odds, Cuba could become a power of vaccines against coronavir ... 	0.0	Neutral
Current vaccines (others will come out than) do not avoid contagion .. avoid ... 	0.6435	Positive
In: Risk of countries without vaccine: The uninmunized population propitiates new variants 	-0.2732	Negative
now sit back as those who claim the government can't be trusted on vaccines implicitly trust them on institutional… 	0.1891	Positive
The European Union should reserve a significant number of vaccines for developing countries. by Solid ... 	0.4019	Positive
"The Murcian government insists: ""Do not go to health centers to ask for quote for vaccines"" ... "	0.0	Neutral
What this weekend we were without more vaccines than supplying in Madrid than the fortunately cited ... 	0.0	Neutral
sad news. restrictions should be kept in place until vaccines are rolled out to all citizens, there’s no other way.… 	-0.6486	Negative
The RAMs of conventional drugs are ignored and the ram of vaccines are exaggerated ... 	-0.4019	Negative
Happiness is to bring my mother to put on the vaccine of the Covid-19 ❤️❤️❤️❤️ 	0.5574	Positive
Only in front, or there are no vaccines or do not call people or I do not understand, there would be 4 or 5 nurses and is that no tail has ... 	-0.5267	Negative
Magnificent Results * About 🧒 and Pfizer / Biontech MRNA vaccine in ⚡️100% effective and safe ** If we want ... 	0.8807	Positive
Well thank you for sharing! How do vaccines work? 	0.7712	Positive
this is the 19th astrazeneca joke, right? i just got freaking vaccinated! 	-0.2244	Negative
Things that look at Instagram: People who repudiated the vaccine to fattening a whole year but now they are traveling ... 	0.0	Neutral
The level of intentionality of these news ... The vaccine does not imply that you do not get you, but if you get it p ... 	0.0	Neutral
pfizer and biontech request regulatory agencies expand emergency use of their covid-19 vaccine to adolescent (12-15… 	-0.0772	Negative
thrombotic thrombocytopenia after #astrazeneca vaccination. the potential explanation of this extremely rare reacti… 	0.0	Neutral
The problem of Spain is not how it is vaccinated but there are no vaccines # covid19 #vacunas #coronavirus this government ... 	-0.5647	Negative
really? Are they still with propaganda despite the disaster? They have not discovered vaccines, they have not achieved the ne ... 	0.3927	Positive
Today more vaccines come !! And while the PP is eager to lie and say that there is a lack of vaccines, it turns out that the re ... 	0.1984	Positive
Do not miss vaccines against the Covid-19 by the African experts González _uvigo and Mariano ... 	0.1139	Positive
Latest news from Coronavirus, Live | Health will allocate the a single-dose vaccine from Janssen to the Perso ... 	0.0	Neutral
1.5 out of every 100,000 vaccinated with astrazeneca can suffer thrombus according to my age range. If I'm with treatment ... 	-0.5423	Negative
Can you explain about the Astrazeneca Covid19 vaccine, please? we do not have… 	0.3182	Positive
Imports ...... To cry a Europe of merchants and ambitious unscrupulous has failed or EPI, no vaccines ... 	-0.6705	Negative
#covid19 #astrazeneca 	0.0	Neutral
Aragón will administer this week 65,544 doses of vaccines against the coronavirus via 	0.0	Neutral
Spain will allocate the first vaccines of Janssen to the group between 70 and 79 years via 	0.0	Neutral
When will people from the age of 18 and 40s are going to be vaccines? These people are the one who has Micha Mobility ... 	0.0	Neutral
This remains the distribution of vaccines against # Covid19: These are the ages that will receive the doses of Pfizer, modern ... 	0.0	Neutral
The attack of mature to Venezuelan businessmen who want to buy vaccines against the Covid-19 	-0.0	Neutral
The #STRAZEneca vaccine does not give me Yuyu ... but 3 grams of something that reaches Spain in the ass of someone ... 	-0.6652	Negative
Thank you for managing all the vaccines of merchants, or not associated with ju ... 	0.3612	Positive
that someone who is up to half or almost from the world population is behind a good part of the vaccines should ... 	0.4404	Positive
🤔 How is the call for the 2nd dose of the # Covid19 vaccine? If you asked for the 1st appointment in ... 	0.0	Neutral
". criticizes to say that people do not want to be vaccinated with #astrazeneca, ""it's unworthy"" ... "	-0.683	Negative
Spain sprayed his record with 611,767 vaccines against # Covid19 in a day and approaches 22 million doses ... 	0.0	Neutral
There I was today with a family member. 20minutes with post-vaccine waiting time! # Covid19 #vacuna. 	0.0	Neutral
of the pricish that I have given me a while ago. The vaccine #modern against the # covid19 is already inside me! ... 	0.0	Neutral
yes. per head of population u.k. is worse re: deaths than india and the usa.johnson and hancock are ok with that st… 	0.2023	Positive
We need your signature to demand the Spanish government that there is no medical patents in this pandemic and that the vaccine ... 	-0.4019	Negative
a regulatory enablement without lowering standards. great proposal. hopefully it gets approved after reviewing the… 	0.449	Positive
Madrid exceeds the million vaccines administered against the Covid-19 	0.0	Neutral
_commission the eu will block exports of astrazeneca coronavirus vaccines if the company fails to deliver the do… 	-0.6908	Negative
Why some side effects of the coronavirus vaccine could be just a placebo via _mes 	0.0	Neutral
vaccine is coming #yomevacuno 	0.0	Neutral
if there are vaccines, you can 	0.0	Neutral
One hundred lobbists of pharmaceutical laboratories work so that vaccines do not reach poor countries ... 	0.357	Positive
And what I most surprise me ... all those vaccines that have manufactured in a year. and yet… 	0.3384	Positive
Sanofi will produce the modern vaccine starting from September. Modern is already testing a vaccine against the variant ... 	0.0	Neutral
And here debating whether the Azterzeneca vaccine gives thrombi or desire to make more pee. Little happens to us. 	0.4019	Positive
Today, especially, I want to thank science, and your researcher the great achievement of vaccines against the ... 	0.8155	Positive
#sharingiscaring u.s. expected to share astrazeneca 60m vaccine doses with other nations #defeatcovid 	0.296	Positive
"Enter by Covid-19 an 88-year-old patient with a good basal situation. He rejected the vaccine for fear of ""thrombus"". Tie ... "	-0.5574	Negative
Second round vaccination with Pfizer for over 80 years. # Sespa #pfizer # vᴀᴄᴜɴᴀcᴏᴠɪᴅ19 #Vacunacion # Covid19 ... 	0.0	Neutral
A single dose of vaccine for those who have already suffered # Covid19 potentially effective to confer total immunity ... 	-0.0258	Negative
Let's see if we continue like this, the following the vaccines 🤗 	0.3612	Positive
Merkel have put the astrazeneca ... 	0.0	Neutral
to the clams, what a vaccine? 	0.0	Neutral
huge yesterday in, enough already stupid, let's put the vaccine that touches us and point, what ... 	-0.2732	Negative
➡️ The vaccine that will be administered will be AstraZeneca.➡️ IMPORTANT THAT Deliver the informative sheet that is attached to the SMS and ... 	0.368	Positive
well i suppose that's something, spain will not require coronavirus tests or quarantines for travelers arriving with ‘vaccine passports’ 	0.2732	Positive
I have been able to speak tonight, the demand of the vaccine between citizenship is the best way to see that speech n ... 	0.5719	Positive
but???? The fault of the vaccine that was going to be put, right? I go to shit. 	-0.8053	Negative
Virus vaccines, including other Coronavirus, are very developed x what ... 	0.0	Neutral
On December 27, the first vaccine against the Covid-19 was put in Spain.94 Days of Management of Vacu ... 	0.0	Neutral
real world covid-19 vaccine results not quite as good as trial results, but still impressive. no deaths and reduced… 	0.2129	Positive
so fortunate to receive my first covid-19 vaccine today . 	0.4927	Positive
When you are going to give priority to people between 66 and 76 years old for the vaccine # covid19 ... 	0.0	Neutral
Very strong more and more thrombosis and deaths. He who does not see him is that he is blind. Keep vaccination with ... 	0.2247	Positive
BBC World - Countries in Latin America in those who develop vaccine projects against COVID-19 	0.0	Neutral
Made sports because all are benefits ... an additional vaccine against # Covid19 # Covid19esp #covid # coronavirus ... 	0.3818	Positive
The benefit of not dying or suffering from Covid19..oses side effects that describes are not serious ... 	0.6981	Positive
The same budget that dedicated him to the vaccine # Covid19, .... Can not wait? #GobierNodelamentira 	0.4588	Positive
"The budget for the # Covid19 vaccine in # Spain is € 700,000, it is better that the Moors have quads for ""Control ... "	0.4404	Positive
Almost 260 miles vaccines in the last 24 hours. Climb the rhythm, but still far from the half million that Figliuolo put ... 	0.0	Neutral
Astrazeneca Yes, Astrazeneca #rastrazeneca # covid19 #vacunagate 	0.4019	Positive
Here this genius and figures with the first dose of the vaccine, I believe more than the reason is by 80 years, that ... 	0.0	Neutral
This works the vaccine against # Covid19 Types of #vacuna Immunity of herd, myths. explained in a easy way ... 	0.4404	Positive
The long-awaited HIV vaccine is born in 2021 eclipsed by those of Coronavirus 	0.0	Neutral
Interview with Adolfo García Sastre. Effectiveness of vaccines, as well as pharmaceuticals, according to him. 🤔Nunc ... 	0.2732	Positive
"""Delaying the #seconds of #Modern and #Pfizer vaccines between 9 and 15 weeks allows to reduce in greater ... "	0.3612	Positive
More than WHO NO, in fact WHO recommends putting on the vaccine ... 	-0.3175	Negative
preliminary findings of mrna covid-19 vaccine safety in pregnant persons | nejm  #covid19… 	0.4215	Positive
EU would be preparing legal actions against AstraZeneca by irregularities in the supply of your vaccine with ... 	0.128	Positive
not sure what the eu has to gain in a covid-19 vaccine lawsuit. seems like a weak negotiating tactic. 	0.0356	Positive
"interesting the webinar ""Covid-19 Management after the landmark of the vaccine"" thanks to "	0.7096	Positive
It was seen coming. Let's see if we can also reach the vaccines. 	0.0258	Positive
Yesterday 34Mil doses of vaccines administered. Far from the 500mil planned as a target by the gene ... 	0.0	Neutral
this girl so much gives you an oven rice as you vaccine against the covid #influencer 	0.0	Neutral
The Counselor of Health, Sira Repollés, has asked «that nobody cares» because there will be vaccines against the Covid-19 «... 	0.0	Neutral
"️ ""In Chile they have put vaccines for dogs saying they were for the coronavirus"" _ #horizonte "	0.0	Neutral
Cuba, a step away from achieving the first Latin American vaccine against the COVID-19 via _pais 	0.0	Neutral
Cuba, a step away from achieving the first Latin American vaccine against the Covid-19 Via _pais 	0.0	Neutral
Australia will not buy the Johnson & AMP vaccine; Johnson against the Covid-19 because it looks like Astrazeneca - RT # 	0.3612	Positive
_PAI Cuban health has no capacity, no reliability to devise and manufacture a vaccine for the Covid19. l ... 	-0.5267	Negative
Coronavirus in Spain: Restrictions, vaccines, last hour and news, live: J 	0.0	Neutral
What can not be compared vaccines against # Covid19? What is the goal of # Vaccunacovid19? 	0.0	Neutral
and it would not be more sensible, q shared patent and will work all the United laboratories x the vaccine # covid19 # elections2021 #madrid 	0.6682	Positive
The South American Football Association Conmebol organizes vaccine for its players, club staff and schiri ... 	0.0	Neutral
Another Masjanssen postpones the delivery of its VACCO-19 vaccine in Europe by cases of thrombosis in the US 	-0.2732	Negative
About vaccines and # Covid19, NGOs and pressure groups, intellectual property (and industrial), patents and large pharmac ... 	0.2732	Positive
We do not use a vaccine for 6 cases of thrombi by 7,000,000 vaccinated. A probability of 0.000086% but only ... 	0.0	Neutral
The Pfizer vaccine against the Covid-19 must be the first vaccine in the history of humanity that does not have effe ... 	0.0	Neutral
That's a nonsense. The 30-year-old teacher, who have died by a horrible thrombosis, very sure ... 	-0.8024	Negative
So we are 🤦♂️ #Pandemia # Covid19 # VaccuncoVid19 #pfizer #pfizerbiontech 	0.0	Neutral
from free metrocards and lottery tickets, to vaccine buses and clinics at churches, officials are stepping up effor… 	0.5106	Positive
The anti vaccines were over 	-0.3182	Negative
u.s. begins #vaccine rollout for #children ages 12 to 15 	0.0	Neutral
"The vaccine immunizes, it does not make you immortal. Some ""journalists"" are thought to be the philosopher's stone ... "	-0.1877	Negative
Rheumatologists advise vaccining in front of the COVID-19 with any vaccine available 	0.0	Neutral
"""Covid-19: Spain will receive 13 million vaccines from Pfizer-Biontech during June"" #coronavirus "	0.0	Neutral
johnson caused serious disruption by lack of action 	-0.6249	Negative
A defacement, how easy it would be to ask volunteers who want them to put them together. Astrazeneca vaccines ... 	0.4939	Positive
_md The vaccine has already saved many here in Spain and thinks that the grip ... 	0.4215	Positive
122,000 vaccines waiting. #murcia #coronavirus. 	0.0	Neutral
Health administers 719.628 Dose of vaccines against the Covid-19 	0.0	Neutral
If we receive a lot of AstraZeneca vaccines but they do not let us administer them, it's very good ... however ... 	0.6474	Positive
I have made this screenshot to remember how we are today. I just could be just as happy in ... 	0.5719	Positive
Many more vaccines from Pfizer will arrive 	0.0	Neutral
pfizer ceo albert bourla on thursday said he was against a us-backed proposal to waive patents on covid-19 vaccines… 	0.0	Neutral
latin american countries have accused pfizer of ‘high-level bullying’ during covid-19 vaccine negotiati… 	-0.296	Negative
Why some side effects of the coreavirus vaccine could be just a placebo, more details: 	0.0	Neutral
95% of Tarraconenses has not received the vaccine # Covid19 	0.0	Neutral
#safevaccines #vaccineswork 	0.0	Neutral
And this without receiving sufficient vaccines ... - ✅Madrid can still quadruple the capacity that has vaccination. - ... 	0.0	Neutral
New test to detect antibodies generated behind the # Covid19 vaccine in # Málaga and ... 	0.0	Neutral
As I know, they approved the concert 	0.4215	Positive
ℹ Today Monday has begun to be distributed among the Autonomous Communities a total of 1,066,350 dose of vaccine contr ... 	0.0	Neutral
On Monday something more than one million vaccines against the Coronavirus, in total 1,066,350, of which 672,750 corresponded ... 	0.0	Neutral
Valencian healing plans to inoculate this week more than 120,000 doses of the # Covid19 vaccine - it is about ... 	0.0	Neutral
what its worst? covid-19 or thrombosis? so, by we can see, now we have a choice , or no ? 	-0.7808	Negative
If this Holy Week besides the vaccines against # Covid_19 that are putting _melly and ... 	0.0	Neutral
In recent days the rhythm of ED vaccination around 250 miles daily vaccines. From mid ... 	0.0	Neutral
It will be why in Spain, 40,000 vaccines have disappeared, there will be left there. 	-0.2263	Negative
Reitaero ... Europe is making ridicule with the management of vaccines ... 	-0.4588	Negative
The Germans Trias i Pujol Hospital detects four infected who had received both doses of the vaccine 	-0.4939	Negative
last minute. ⚠️IMPORTANT⚠⚠️ This is the citation process for the VACCN-19 vaccine in the population of ... 	0.0	Neutral
But here we are not investing a euro in this vaccine ... it is that I shit on everything that is pussy ... I hope the H ... 	-0.1779	Negative
The HIV vaccine is born eclipsed by the Vaccine of the Covid. 	0.0	Neutral
"Now that the news is ""the bad things are vaccines,"" it is no more seeing this graph of Israel. "	-0.6908	Negative
how long the antibodies of the vaccines last to the COVID-19 via 	0.0	Neutral
Mix two vaccines, a strategy to unclock the fight against coronavirus via _pais 	-0.3818	Negative
_Moreno I want my dose of astrazeneca and help 	0.4588	Positive
I'm going to tell you one thing. I'm not going to ask for a vaccine or the other. But I want this fate yes or yes. Moreover, all ... 	0.6908	Positive
a few countries have ordered enough #covid19 vaccine doses to vaccinate their entire populations 3x over! tell lead… 	0.0	Neutral
I hope there was also a vaccine against the descent ... 	0.4404	Positive
Put the vaccine! Survivor, Luce T-shirt of #Astrazenec with ✅ free shipping costs! ... 	0.7494	Positive
of the happiest days of my life, today my dad have put the 1st dose of pfizer #yomevacuno # covid19 	0.6369	Positive
Risk of thrombosis By: Covid19: 16.4% Smoking: 0.18% ... 	-0.2732	Negative
merck pulls antirretroviral molnupiravir for covid-19 treatment. the vaccines are crowding out the treatments, it s… 	0.0	Neutral
the numbers day to resume use of the johnson &amp; johnson covid-19 vaccine. 	0.0	Neutral
when they give me the vaccine (back by 2023) in addition to the vaccine, what I look forward to is a curit of the EU 	0.0	Neutral
The risk of thrombi is higher if you have COVID-19 than with the AstraZeneca vaccine or Janssen, says WHO ... 	-0.2732	Negative
#covidvaccine: risk of blood clot after coronavirus is eight times higher than after oxford-astrazeneca vaccine - s… 	-0.2732	Negative
Again and give him perico, again another foolishness of the government! Maricon buy vaccine and give yourself standards! not… 	-0.5242	Negative
and a little more about the effectiveness of vaccines in this thread. There is no doubt. 	-0.5719	Negative
We have dozens of daily consultations of oncological patients in relation to the vaccine # Covid19 🟢 Answer Cort ... 	0.0	Neutral
It's okay, but at an average of $ 10 vaccine are 2.5 million dollars. The great charitable work of a company that GA ... 	0.8922	Positive
I hope that this is! 🤞🤞🤞 We lost a member by Covid19 ... With the vaccines we should be tra ... 	0.2244	Positive
perpetual vaccine$ 	0.0	Neutral
#Vacuna could become annual according to #pfizer 	0.0	Neutral
"The ""scandalous imbalance"" in the distribution of vaccines against Covid-19 for rich and poor via _pais "	-0.4404	Negative
and those who are with astrazeneca we will stay with a 	0.0	Neutral
of the few good things that is going to leave us # Covid19. 🤞 I hope it is approved as soon as possible. Not only ... 	0.8126	Positive
petition: do not rollout covid-19 vaccine passports 	0.0	Neutral
eye. ➡️ United States is preparing for the possibility that a reinforcement vaccine is needed between 9 and 1 ... 	0.4215	Positive
often negotiate. On vacation return a 2x1 in vaccines, flu + coronavirus, the future that comes to us. 	-0.3818	Negative
vaccines!!!! vaccines!!!!! and more vaccines! 	0.0	Neutral
Seeing how the rhythm of vaccines in Ceuta of the # Covid19 may be touched at first of June. 	0.0	Neutral
Cover We are more committed to confine and prohibit mobility than to put vaccines and leave the ... 	0.2944	Positive
seriously 🤬 2nd dose for August 4 hello? Is not it supposed to be years 20 days later then that bells is worth vaccine ... 	0.0516	Positive
Good afternoon I wanted to ask you how about the development of the vaccine against the # Covid19 	0.4404	Positive
Spain already exceeds 30% of the population to which a dose of vaccines against the crown has been administered ... 	0.0	Neutral
Yesterday I had to take the vaccine against the # Covid19! A new stage to reinforce health not only of oneself but d ... 	0.0	Neutral
#covid19 vaccine janssen: european medicines agency finds ‘possible link’ to the very rare cases of blood clots wit… 	0.0	Neutral
Israel is back to head: it already has an agreement for vaccines 2.0 against variants. It will provide them with ... 	0.4939	Positive
Well, I was talking about putting all resources to produce vaccines and adju ... 	0.2732	Positive
Book! Autonomies receive 150,000 doses of Janssen monodose vaccine via _pais 	0.0	Neutral
the vaccine!! Light to leave the Tunnel Covid-19 	-0.1984	Negative
the adeje magma is now operating as a mass vaccine centre 	0.0	Neutral
The # Regionmurcia receives today the first 4,650 Janssen vaccines. #coronavirus. 	0.0	Neutral
My first #Pziffer vaccine every freer! #Vacunacionmaxiva #masvacunas # covid19 #hospitallapaz 	0.3382	Positive
"️ ""The liberalization of vaccine patents is essential to accelerate the vaccination process against ... "	0.0	Neutral
Fantastic vignette, let's let ourselves from stupid, any of the vaccines approved by WHO are effective against the ... 	0.7269	Positive
But how is it possible that, with which he is falling, we give such vaccines ????? regrettable. 	-0.7059	Negative
Look what I have shared: Why the Russian vaccine against the Covid-19 has received the name of Sputnik v.i.d.a. in a ... 	0.34	Positive
"In the technical sheet of the AstraZeneca vaccine it is indicated that ""there is no data available on interchangeability ... "	-0.296	Negative
but with many more dead ... between the VOCID19, the vaccines and other viruses that come .. hold that come curves 	-0.8121	Negative
Am I the only one who has by criteria in vaccines how effective is it to avoid severe VOCID-19? I do not know, boy ... 	-0.1779	Negative
Let's see cases of thrombosis are counted on millions of vaccines, the index compared ... 	0.0	Neutral
Doctors without Epi and without vaccines ... with a #diction that refuses to receive donated vaccines #Genocide # Covid19 ... 	0.0	Neutral
Allow me to say it without hot cloths. Have more than 60 years and reject any vaccine is to be tremenedame ... 	-0.2023	Negative
When they will put the coreavirus vaccine according to your age via _ one 	0.0	Neutral
Today Friday, # 9Dajabril, health counseling confirms a new case of #coronavirus on # Monturquesegún reflected ... 	0.0	Neutral
ok so, like...give it to me then. i’m still waiting for my vaccine. 	0.296	Positive
Nobody is already remembered, that the recovered from Covid19 already had a risk of thrombi without any vaccine by means? 	-0.2732	Negative
What was missing: Mexico works on its own vaccine against the COVID-19 called as homeland 	-0.296	Negative
That vaccine is not Russian. 	0.0	Neutral
top scientific covid-19 papers - vaccine chapter #covidreference 	0.2023	Positive
First information on vaccines by DR .. An expert in the field. The most important thing is vaccin ... 	0.2716	Positive
That Mr. Vicente Larraga an expert in vaccines that undoubtedly makes pedagogy is a need what we have. That… 	0.0	Neutral
"""Covax has already delivered vaccines to 100 countries,"" reports the European Commission President. those who would come to VENE ... "	0.0	Neutral
What is needed is not to give so much hype to things that can happen with many medications and vaccines. My family ... 	0.0	Neutral
José Coronado (@josecoronado_) Speaking clearly and with more coherence than many supposed experts about vaccines with ... 	0.4019	Positive
affluence today in Ifeme for the vaccine. 	0.0	Neutral
Should you administer to patients with a history and / or risk of thrombosis or thrombophilia? - Yes. The vaccine prevents the ... 	0.2263	Positive
# masjosecoronadomenosmiguelbosé #vaccineswork #coronavirus 	0.0	Neutral
Risks and benefits of the vaccine # astrazeneca. # Cuvid19 	0.128	Positive
And no politician has put some rejected vaccine? Or is it that they have not caught them? 	-0.7059	Negative
"And why no one talks about buying the Chinese vaccine? ""Rojo Malo?""? If they are those who stopped in the bitch and it is enough ... "	-0.8146	Negative
True, with all the approved vaccines and according to the recommendations of the _News the principle ... 	0.6808	Positive
#SanityHoy Coronavirus: WHO WILL NOTIFY Long-term serious side effects 	-0.0772	Negative
"Can you call ""side effects"" to the more than a thousand deaths that vaccines against the Covid-19 have Provo ... "	0.0	Neutral
Fantastic, this is not a game, all vaccines are effective against # Covid19 ... common sense p ... 	0.7717	Positive
And the Covid-19 either ..? In any case, the vaccines do those of the Antithetanicaq vaccine ... 	0.0	Neutral
New strains of Coronavirus: This is 'eek', the new Japanese strain that seems to escape vaccines and immunity ... 	-0.1779	Negative
We have it soda near and now. Let's see if they stop fighting and confuse people with vaccines and they vaccinated us all ... 	-0.6808	Negative
That is not a bad vaccine, it is not something done lightly, that it does quickly depreciate by the situation. But it is what ... 	0.431	Positive
Yes? Then, why can we buy them without restrictions and vaccines do not even want to put them on vaccinated ... 	0.3565	Positive
"After the ""Exploit"" of yesterday with 460mil vaccines set today we are at 364,039. But come on ... it's okay! "	0.2942	Positive
Namely: ️ 0.001% thrombosis among Astrazeneca vaccinates. ️1% Lethality that causes SARS-COV-2 ... 	0.0	Neutral
The benefit of putting on the vaccine is superior to risk. It is clear! # Covid19. 	0.807	Positive
Our dear mayor enters the electoral campaign: 1️⃣ asks vaccines A and supply ... 	0.3818	Positive
Huge, a current of exaggerated opinion has been generated with the Astrazeneca vaccine, reality is ... 	0.2263	Positive
You go down the street and you hear about vaccines for coronavirus. We have Surafrican, Brazilian and British variant, if ... 	0.0	Neutral
Analogously: the frequency of thrombi after Astra Zeneca vaccine against the Covid19 is 1 each million vaccin ... 	0.0	Neutral
The minister advanced this Saturday that Janssen's first vaccines, which only precise a dose, ... 	0.25	Positive
at least johnson & amp; Johnson does not sty my eyes 	0.0	Neutral
Closer to the Spanish vaccine against Coronavirus: Your clinical trials will start before summer, more detailed ... 	0.0	Neutral
Great, but let's get all to defend q all vaccines available ... 	0.3716	Positive
This is updated the SIP data to receive the SMS of the CORONAVIRUS vaccine in Valencia ... 	0.0	Neutral
We regret the death of a thrombus partner, after the vaccine against # Covid19. #D.E.P. 	-0.7717	Negative
More than 80 Spanish organizations asked # Sánchezliberapantes to get a # vaccine ... 	0.0	Neutral
covid-19 has spawned great innovation in vaccines, from design to delivery. freeze dried vaccine, anyone? 	0.7845	Positive
# Covid19 # Vacuna_News about AstraZeneca vaccine: - There is no reinforcement with an mRNA vaccine for those who re ... 	-0.296	Negative
michelle pfeiffer &amp;  en la metro golden zeneca!! #pfizer #vacunas #covid19 #madrid 	0.0	Neutral
There are people who explain things very well. that's why we insist that the best vaccine for is what is put 	0.7645	Positive
#aljazeera 1bn #covid jabs given... 	0.0	Neutral
Look where, the Covid and vaccines against it do not act the same in men than in women. As for and ... 	0.0	Neutral
Where do you have to sign up for this vaccine? 	0.0	Neutral
india, who now is going through hell, has been the vaccine manufacturer for 64 low-income countries 	-0.6808	Negative
Questions so disturbing as necessary: Do you need vaccine a disease whose lethality is 1%? Read not to ... 	-0.5563	Negative
omeprazole, paracetamol, aspirin ... Adverse effects may be greater than those of astrazeneca and other vaccines ... 	0.0	Neutral
Well, it seems that some beneficial effect have the vaccines ... _ _SEMI 	0.6124	Positive
I take medications for migraines and have more side effects adverse than vaccines. He who does not want to pon ... 	-0.4562	Negative
What can happen after putting the vaccine for the covid19? #Unsantoveniamejor #CreateReterdust 	0.0	Neutral
# Vaccunacovid19 # MelillarCalculus (mine, approximate) of vaccines put on #Melk including 3,000 vaccin ... 	0.0	Neutral
eu commission won't renew az or j&amp;j covid-19 vaccine contacts next year. seems premature to me. 	0.0	Neutral
vaccines work! 	0.0	Neutral
"The horny that are brought with the vaccines in which several are ""bad"" and the other is the ""good"" and besides you late ... "	0.0	Neutral
Hundreds of vaccines without administering in #murcia for a failure in the citation system. _Is #Coronavirus. 	-0.5106	Negative
Seyardism causes more thrombi than the coreavirus vaccine and not because of that I see you going to run in the morning. 	0.0	Neutral
the extraordinary story of dr. kati kariko, who made possible the mrna revolution and the covid vaccines. really wo… 	0.0	Neutral
The vaccine and the return to normal after the ... 	0.0	Neutral
The _News is clear ✅ the #strazeneca vaccine against the COVID-19 continues to be considered safe and effective. m ... 	0.8225	Positive
Reason 293858482910101 that shows that vaccines if it works and most importantly: Save lives 	0.7245	Positive
TB vaccines in it. morning! 	0.0	Neutral
Yesterday 131 people died by Coronavirus were accounted for. Without the vaccines that have already been placed, we would be in ... 	-0.5574	Negative
