Tweets	Compound	Analysis
I do cook me, there is less like # covid19 #vacuna #pfizer 	0.2975	Positive
These vaccines must be false because they do not bring a sticker from the Government of Spain in El Palé. 	0.0	Neutral
that running the vaccine! # covid19 # vaccination #salut 	0.0	Neutral
#Duquehomicide? Chanfle! Colombia has not signed contracts to acquire vaccines against the Covid-19 	0.0	Neutral
The Palestinians disseminate them a fuck, have been the Russians who have sent the vaccine ... 	-0.5423	Negative
Health has placed 36,134 vaccines, 98.2% of those available.7 February, 3.8% of the population ... and say what ... 	0.0	Neutral
It is already 100% anti-vaccines and now it is starting with the chemtrails.de, care of your people near ... 	0.4939	Positive
| Cantabria expects to receive first time on Monday the 2,380 doses of the #Astrazeneca vaccine against the ... 	0.0	Neutral
I just signed a petition for vaccines against Covid-19 to be a public good. There is nothing that justifiqi ... 	0.4404	Positive
As it may be that in Spain, the best vaccine in front of the Covid-19 is being developed and does not receive funding alg ... 	0.6369	Positive
pfizer is doubling its covid-19 vaccine production. 	0.0	Neutral
"After poor results (preliminary) of the Astrazeneca vaccine against the ""South African variant"", South Africa Detie ... "	-0.4767	Negative
south africa suspends oxford-astrazeneca vaccine rollout after researchers report ‘minimal’ protection against coro… 	0.0	Neutral
In _peru they are doing a direct with the arrival of the plane that carries the first vaccines to Peru. People ... 	0.0	Neutral
This is how it is vaccine in Ethiopia against the Covid19 	0.0	Neutral
Pfizer temporarily reduces the supply of Covid-19 vaccine in Europe 	0.0	Neutral
If the vaccine was inoculated with the same speed that we are inoculating hate, we would all be vaccinated three v ... 	-0.5719	Negative
Great this thread on the vaccine 	0.6249	Positive
Evaluation of the RNA vaccine. 	0.0	Neutral
Israel is denying the coreavirus vaccine to the Palestinian population. It is a more sample of the Criminal Apart ... 	-0.7003	Negative
⚠️ #MallasNoticias The # Covid19 is still shot at # Málaga being the province that most positive records once ... 	0.5984	Positive
The vaccine this weekend against # Covid19 to 500 health professionals. 	0.0	Neutral
What I do not understand is because we do not vaccinate 24/7. #ISRAEL: The application of the first dose of the vaccine against the ... 	0.0	Neutral
jajhajj now each country has its own variant. How timely, of balls. Just when there is a vaccine come out variants ... 	0.0	Neutral
this of _more in the Palestinians without vaccine, with nothing 	0.0	Neutral
#quityeencasa the curva shot 	0.0	Neutral
Normal because she is more than Sánchez and vaccine as she is given that for that is going to pay 800,000 euros to the cross ... 	-0.1027	Negative
Go Bajón with vaccines in Italy, today ... Only 57mil🤷♂️ 	0.0	Neutral
But Lombardia stayed in the batteries and has already used 70% of its vaccines. Campania is brutal !! 	-0.6892	Negative
"A marriage of PSOE mayors is vaccine from Coronavirus because ""Subjects"" dose via _cvalenciana "	0.0	Neutral
Good analysis of Dr. Pedro Navarro about vaccines against # Covid19 	0.4404	Positive
"Coronavirus: ""If a community is not able to put vaccines, come to Galicia» "	0.0	Neutral
Thus they have begun to be administered this Saturday, the first vaccines against the # Covid19, to the health personnel of at ... 	0.0	Neutral
If sanitary personnel are missing to manage vaccines against the Covid19? Why is not all the San ... 	-0.296	Negative
"""For Urkullu, the change of criteria in the distribution of vaccines can lead to a"" raised race for vaccinating c ... "	0.0	Neutral
2nd doses pfizer-biontech, one step further to # covid19 	0.0	Neutral
290,000 minors in the # Regionmurcia, excluded from the #Coronavirus vaccine. 	-0.34	Negative
"from Mr. Salvador Illa (nor that is presented to the Catalan elections), and from you to make ""similar shots"" to ... "	0.0	Neutral
AI! the vaccines. 	0.0	Neutral
We are rightly left without vaccines. 	0.0	Neutral
Sanofi will support Pfizer / Biontech in the production of the VACCNO-19 vaccine using its installations via ... 	0.4019	Positive
So that vaccines paying people, whether for people and not for private companies who intend to do business ... 	0.0	Neutral
#Hewshaftshots Funeral Cars Collecting corpses by Covid-19 at Punta Europa Hospital ... 	-0.3612	Negative
The PP to his, subsidizes shots, pays cures subsidize the housing to the rich makes a hospital spending more than ... 	0.5574	Positive
But if the vaccine has not been authorized! It is curious that this conflict is organized by the delivery of a VA ... 	0.0	Neutral
The worst thing is that they are vaccinating every train and for the new Version of the Covid-19 this vaccine does not serve, ... 	-0.6249	Negative
Another one who does not believe anything, nor virus, no vaccine, and even, or the immunity of flock ... # coronavirus ... 	0.2235	Positive
johnson &amp; johnson vaccine authorized “77% effective in preventing severe/critical covid-19 occurring at least 14 da… 	0.4588	Positive
how to quickly ramp up global vaccine production so that we can get faster to global herd immunity. my piece with… 	0.0	Neutral
#safevaccine #vaccineswork 	0.0	Neutral
between the no-go of a patent waiver for covid-19 vaccines as suggested by india and south africa and the slowness… 	0.0	Neutral
"""Covid-19: Colombia receives the first vaccines of the covax mechanism"" #coronavirus "	0.0	Neutral
Great job of # Summa112 in a site as beautiful as the vaccine ... 	0.8402	Positive
Scotland shows that the Astrazeneca vaccine is also effective in over 65 years vaccination data ... 	0.4767	Positive
Two hours ago they have vaccinated me. I throw farts with smell of Porro. My husband says he between the vaccine and grass ... 	0.0	Neutral
very promising news...  come on  don’t leave the uk behind #vaccinepassport #savefuturetravel 	0.4201	Positive
Today I received my second dose of the Pfizer Biontech vaccine. That anxiety because things come back as before ... 	-0.1779	Negative
over 60% of russians don't want sputnik v vaccine, see coronavirus as biological weapon: reuters poll | article [… 	-0.3447	Negative
The White House discards sharing vaccines against Covid-19 with Mexico and other countries via 	0.2023	Positive
15 hours after receiving # AstraZeneca I do not present any symptoms. The hacendado of the vaccines, for now, I ... 	0.0	Neutral
#covid19 will have a massive geopolitical effect! vaccine doses will become currency. international decisions made… 	0.0	Neutral
I already go to my health as vaccinated, but if I have to put 8 doses I will not leave. # covid19 #astrazeneca 	0.0572	Positive
$vxrt one of the best penny vaccine companies working on a oral covid19 vaccine-the only in the world!flu vaccine… 	0.6696	Positive
The great-grandmother with 94 springs receives the first dose of the coreavirus vaccine. Always scales after ... 	0.0	Neutral
Just what I needed to read. How bad people stop two women who disguised himself with grandmothers for vaccine ... 	-0.7783	Negative
Side effects of some of the vaccines that are being administered. 	0.0	Neutral
Screenshots || We return this weekend ⚽️Sew will play the days 3 and 5 of our postponed teams ... 	0.1531	Positive
Evolution of antibodies for SARS-COV-2 with the Pfizer vaccine # Vaccunacovid19 #pfizer # pfizerbiontech ... 	0.0	Neutral
The trial will resume with the interrogation at the extresorer of the PP Luis Bárcenas Monday, March 1. #cajab ... 	0.0	Neutral
covaxin #covid #coronavirus #covax is an inactivated vaccine which means that it is composed of dead coronavirus ... 	-0.6486	Negative
! ️ Biontech / Pfizer vaccines could be kept at higher temperatures (approx -20ºC for a couple of week ... 	0.0	Neutral
[# Campaign] Is the coreavirus vaccine safe and effective? Here we clear your doubts for me, for ... 	0.7506	Positive
_RBC: There is a feeling that the West is very annoying the emergence of the Russian vaccine. S.V. # Lavrov: ... 	-0.3597	Negative
The best vaccine against the Covid-19 is having a home ... AMO! via 	0.6696	Positive
As a plan OK ✅.But _armengol have the vaccines bought? Or at least done the order? ... 	0.5095	Positive
Cuba will immunize its entire population against the Covid-19 with its own vaccine 	0.0	Neutral
As with the sick of patients recovered, the serum of people vaccinated with the Pfizer vaccine neutralizes in a way ... 	-0.5106	Negative
6,000 a day (9 days) 750 a day by province.Vacunating 12 hours a day, it is administered 1 vaccine every minute by p ... 	0.0	Neutral
# Covid19 # Vaccunacovid19 #vaccine # Bioløgy 	0.0	Neutral
It is our responsibility as doctors give scientific and truthful information about the vaccine against Covid19. ... 	0.4588	Positive
Scam of the false vaccine order The Mossos d'Esquadra have detected a new # look at ge ... 	-0.5719	Negative
First dose vaccine. # Covid19. 	0.0	Neutral
🤔The companies can dismiss workers who refuse to put on the vaccine against the Covid-19 ... 	-0.296	Negative
The new contagions in the # Regionmurcia are shot until the 1,279 in the last 24 hours, with 5 deceased more ... 	-0.3612	Negative
(...) But it has put almost 43,000 vaccines # Covid19 less, all in absolute numbers. 	0.0	Neutral
(...) vaccines less against #coronavirus, all in absolute numbers. Community of Mad ... 	-0.4939	Negative
A study affirms that the Pfizer and Biontech vaccine is effective against the last variants of the Coronavirus via ... 	0.4767	Positive
Last minute | The vaccine currently distributed in Spain protects against the new variants of the coronavir ... 	0.3182	Positive
With all the respects to Luis who is a wise, I do not think it can be affirmed that current vaccines do not induce immu ... 	0.6597	Positive
This situation is the UK that has quickly approved the vaccine. It is still long. 	0.4215	Positive
The modern vaccine approved in Europe! #teamhalo #coronavirus. 	0.4753	Positive
The EMA includes the possibility of using an extra dose of the vials of the Comirnaty vaccine against the COVID-19 	0.0	Neutral
URGENT The vaccine, which Spain gives it, protects against 19 Kovid virus mutations, which was discovered in the United Kingdom ... 	0.7672	Positive
Madrid is the one that more Covid19 reports and the least vaccines administered. How always a commendable work d ... 	0.0	Neutral
The vaccine from Friday to the Sanitary of the private sector of the municipality. 	0.0	Neutral
Well, less bad! A study states that the Pfizer and Biontech vaccine is effective against the latest variants of ... 	0.3149	Positive
The beginning of the end, I put the vaccine. 	0.0	Neutral
We have good news. #cantabria has received the supply of 7,020 dose of the # Covid19 vaccine. is… 	0.4404	Positive
Andalusia Abuly vaccine against coronavirus to more than one hundred officials 	0.0	Neutral
_17 That you tell you the other day ... keeping vaccines in case they fail, they do not believe it. it was clear… 	-0.5423	Negative
The best vaccine we are ourselves with our behavior. We need more than ever for each other. p ... 	0.6369	Positive
They arrive from Italy's complaints _This travel Vaccines #vaccine # Covid19 So, it will sue ... 	-0.4019	Negative
zvx-60 vaccine via  a gp96 platform vaccine, based on tcell 	0.0	Neutral
The vaccine #modern is effective 	0.4767	Positive
Euskadi receives 15,600 new doses of the Pfizer vaccine via _com 	0.0	Neutral
The Pasteur Institute leaves its most advanced vaccine against the COVID-19 via 	0.3167	Positive
Have you read that the pharmacist Merck has suspended its two vaccine projects? How could it affect positive way ... 	0.128	Positive
Scandal in Galicia: 200 vaccines to personnel who do not directly work against the Covid-19 Via _plural 	-0.4404	Negative
2 million € to investigate the # Covid19 vaccine is this too # branding? 	0.0	Neutral
First data on the effectiveness of the vaccine # Covid19 in the population: the monitoring of vaccination in Israel c ... 	0.0	Neutral
Double mistake, under my point of view. If there is a shortage of vaccines we are not to throw dose. who assume their responsibility ... 	-0.5267	Negative
Sure, xq now we are about vaccines as to waste the first doses already put. I see myself that we will be liaos co ... 	-0.128	Negative
Very good news; Modern announces that his vaccine maintains neutralizing capacity against new variants ... 	0.4927	Positive
46,000 vaccines in the last 24 hours in Italy 	0.0	Neutral
A vaccine .... of cinema. 	0.0	Neutral
This morning I got my certificate from the Community of Madrid to have received the 1st dose of the Pfize vaccine ... 	0.0	Neutral
We already know that vaccines generate a positive response in front of other variants. Now it remains to know when it arrives ... 	0.5574	Positive
We knew the consequences of saving Christmas: lives that go and vaccines that do not arrive !! 	0.0	Neutral
For that foolish face if there are no vaccines ... 	-0.5106	Negative
Pedro has said that we are going to be all vaccinated before # summer. Now, have you said what the vaccine will be? Grip ... 	0.0	Neutral
early results on pfizer covid-19 vaccine encouraging, says israeli hmo | article [amp] | reuters 	0.5267	Positive
2a dosi of the vaccine against the covid19 #joemvacuno #yomevacuno #ciencesendosis 	0.0	Neutral
New positives by Coronavirus in two residences after managing the second dose of the vaccine in the province of Ciudad Real 	0.5267	Positive
New positives by Coronavirus in two residences after managing the second dose of the vaccine in CI ... 	0.5267	Positive
The Oxford and AstraZeneca vaccine reduces the transmission of the COVID-19 by 67%, according to preliminary studies ... 	0.0	Neutral
We are closer, second dose in # covid19 #covidvaccine 	0.0	Neutral
do we know if it induces iga response? with bovine coronavirus vaccine we use antenatally in cattle… 	0.0	Neutral
We have fallen into a global catastrophe, Covid19, where uncertainty has cumshots. This great problem ... 	-0.7845	Negative
""", Take note .... It is not: the transport of sputnik V vaccines against the Covid-19 in a refrigerator ... "	0.0	Neutral
#coronavirus #pandemiadiga the new #circo of the vaccines ... to accompany the #circo of the # Pandemic management # all-resistance 	0.0	Neutral
The scientific conglomerate of Porriño, Pontevedra.The Vice President of Pharmamar works in another vaccine against the ... 	0.0	Neutral
We need your signature to demand that there are no medical patents in this pandemic and that vaccines, medications and d ... 	-0.4019	Negative
they are being studied and approved so many coreavirus vaccines that when the turn of vaccinating me is sure to be called #Hacendado 	0.6249	Positive
Health will receive more than 270,000 #pfizer vaccines against the # Coronavirus.When finish March, there will be 30 ... 	0.0	Neutral
the premier and second vaccine without covid-19. 	0.0	Neutral
Little is being said about outbreaks in residences after the first dose of vaccine. # Sarscov2 # Pfizer ... 	0.0	Neutral
j&amp;j asks us regulators to ok its one-shot covid-19 vaccine 	0.296	Positive
Solving some doubts about vaccines. 	0.0516	Positive
They are HDEP that allow these vaccines 	0.2263	Positive
Today, my 91-year-old mother will put the vaccine # Covid19. weeks after those who have been cast with tot ... 	0.0	Neutral
mRNA, Proteins, Adenovirus ... How does each type of vaccine against the coronavirus differ? 	0.0	Neutral
We prepare a vaccine against monarchy abuses: #Larmaduradelrei. And you do not have to go to Abu DH ... 	-0.5574	Negative
The spokesman for the Popular Party, Almeida, sees well that the infantas of Spain put the vaccine out of his p ... 	0.765	Positive
How any other tourist who is paid the trip, hotel and vaccine.Yo, Spanish on foot I am not vaccinated yet ... 	0.0	Neutral
The J & Amp vaccine; J has an efficiency of 60% a week after a single dose and 90-95% at two months ... 	0.3612	Positive
This character would explain to him that the vaccine protects you. But that you can get infect! 	0.3802	Positive
At € 16,500, each vaccine was coming out of these. 2,745,369 pesetas The vaccine. # Infantas 	0.0	Neutral
I am not ... The Pueblu ... came out the fucking vaccine ... These two are supposedly followed with the Patrio Puerio! ... 	0.0	Neutral
The preparation does not know anything and the silly ones are the ones that have been vaccinated, there is no confinement or vaccine that ended ... 	-0.2732	Negative
"When the vaccine is accessible to everyone, the same you could get to raise ""privilege"" to the vaccinates ... "	0.0	Neutral
Late skin reactions to the RNAM vaccine against # Covid19 both #PFIZER and #MODERNAAFT 8⁰ Day (4-11) t ... 	0.0	Neutral
dolly parton shared images and video of herself receiving a moderna covid-19 vaccine dose on march 2, 2021. the ico… 	0.34	Positive
Does it touch the vaccine of #Astrazeneca? #vacuna # VaccuncoVid19 #Buennosdias #felizmarte # Covid19 	0.0	Neutral
god save the vaccine! 	0.68	Positive
isth statement on astrazeneca covid-19 vaccine and thrombosis 	0.0	Neutral
Yesterday talking about our first year of pandemic life, of the vaccines we have and those who will come from 🤓 	0.0	Neutral
The Ministry of Health suspends from tomorrow and during the next two weeks vaccination with the vaccine ... 	0.0	Neutral
Spain knew on Saturday a case of thrombosis in a vaccinated with astrazeneca 	0.0	Neutral
Nor do they exaggerate, this woman is the half empty glass, not half full. She did not give the vaccines either, she starts ... 	-0.0915	Negative
"Queen Sofia receives the vaccine against coronavirus according to the ""established protocols"" "	0.0	Neutral
I do not enter to assess the news beyond the fact that I would like the face of shame if I had a vaccine ... 	-0.1531	Negative
More than 17 million vaccines, 37 thrombotic episodes. You will the percentage that I have discomfort. 	-0.4215	Negative
"The EMA insists: there are no ""indications"" of relationship between the thrombi and the AstraZeneca vaccine via "	-0.296	Negative
According to this article, the modern vaccine costs 24 euros, while that of Astrazeneca, which is the most ... 	0.0	Neutral
EMA does not see a higher incidence of thrombi in those vaccinated with astrazeneca than in those not vaccinated 	0.0	Neutral
Suspended from today the Astra Zeneca vaccine for 15 days over 55 years. 	-0.4767	Negative
My little girl has just asked me when they put the vaccine to finish with the coronavirus ... I have asked me to ... 	0.0	Neutral
and Lombardia, among the last regions for vaccines set. What a disappointment🤦♂️. 	0.0	Neutral
The coreavirus vaccine should not be mandatory, nor now never! Signature, this request also to demand ... 	-0.2533	Negative
🦠Today 160 neighbors have received the vaccine against #coronavirus thanks to the health professionals the elderly ... 	0.4404	Positive
We will have the Russian vaccine already manufactured in ESP. ? 	0.0	Neutral
Covid: Queen Sofia receives the coreavirus vaccine via #reinasofia 	0.0	Neutral
Side effects of the application of the latest vaccines #Astrazeneca 	0.0	Neutral
I would not have stopped vaccination with #astrazeneca. If the _News exists it is fair to make it. The one of ... 	0.4526	Positive
🤷‍♀️🤔🤔🤔🤔 #astrazeneca #covid19 #covid 	0.0	Neutral
Araceli is already vaccinated !!! In a week if it is contagious of the coronavirus it will not develop the disease! #vaccine… 	-0.5526	Negative
Today (18.01.2021) will stay for history. I already put the 1st dose of the vaccine 🤜 against the Covid19 today we ... 	0.0	Neutral
❌ Sum and follow! Another socialist mayor that the vaccine of it without being a person of risk ... how many more will come out? 🧐 that angry ... 	-0.69	Negative
"I do not understand why the vaccine theme is covered with ""the coreavirus vaccine"" or ""the"" immunized "". The vaccin ... "	0.0	Neutral
Africans become citizens of 4th or 5th division, as always. Not a single vaccine for the # Covid19 to see ... 	0.0	Neutral
I have been vaccinated !! ❄️ Very grateful with all scientists # Yomevacuno #vaccineswork # Covid19 	0.5963	Positive
of shame. Of the 39 million vaccines against # Covid19 distributed around the world, only 25 have been administered ... 	-0.4767	Negative
Israel allows the confinement to be skipped upon receiving the second vaccine. In addition, they will not have to keep quarantine to ... 	0.0	Neutral
Last week I received the 1st dose of the # Covid19 vaccine during this week I exper ... 	0.0	Neutral
All hopes deposited in this _spain vaccine thanks to the escort made by the ... 	0.6908	Positive
After many months and in full third wave of # Covid19, I play my vaccine #yomevacuno 🦠🦠🦠 	0.34	Positive
as with hiv / aids, covid-19 is teaching us about the immune system. vaccines are good. it will take some time to k… 	0.6249	Positive
Another afternoon administering the vaccine against # Covid19, collaborating in the Vaccin administration for me is a sa ... 	0.0	Neutral
Users and workers of # Aragon's residences have begun to receive the second dose of the vaccine ... 	0.0	Neutral
#Alarma Lord we are already in #Colapso # Covid19 #uci Full #Cobtagios shot, dad #gobiernodeinutiles n ... 	0.0	Neutral
Great mosaic of the day of vaccines today in _HPoniente; There are not all those who are but we will continue tomorrow goes ... 	0.3716	Positive
More than a hundred professionals have received today the second dose of #pfizerbiontech vaccine to complete their ... 	0.0	Neutral
Netanyahu exhibits the syringe with which they have put the first dose of the coreavirus vaccine. 	0.0	Neutral
"""I have Three vaccines."" Back to Carrer del Bisbe. #tvboy # covid19 #barcelona #rael @ Carrer del Bisbe "	0.0	Neutral
And my question is ..... for when a vaccine against cancer? Because people of this disease also dies. and by… 	-0.6597	Negative
First dose Pfizer vaccine: 12 hours after the vaccine, appear: strong drowsiness out of the usual, ... 	0.5106	Positive
underselling the vaccine 	0.0	Neutral
Astrazenec vaccine against the third Covid-19The third in arriving in Spain a vector vaccine Viraloson Nece ... 	0.0	Neutral
according to this table, the most efficient vaccine is #sputnikv by gamaleya research institute 	0.4754	Positive
and neither a crilling stewardess. A lot of vaccine, but they do not have a soul. 	0.0	Neutral
The interesting Tweets of _Orive: Some experts, pose hypotheses that MRNA vaccines as modern (and Q ... 	0.4019	Positive
The doctor that I want me to put on the vaccine against the Covid-19 	0.0772	Positive
#vaccine # VaccunascoVid19 # Covid19 #coronavirus Europe is today a second year we laughed at Trump, by Johnson ... 	0.4588	Positive
"""I prefer to give positive in Covid19 that negative in Christian"" is worth the crisis of the lack of vaccines solves ... "	-0.5423	Negative
"The European Commission reveals that Astrazeneca contract contains ""very clear"" vaccine delivery orders "	0.4391	Positive
✅ We propose a covenant between parties so that no politician has privileges and does not burn in the vaccine queues ... 	0.4256	Positive
The European Union had a contract with AzTraseneca (Covid19 vaccine producer) as this company, is not fulfilled ... 	-0.3252	Negative
Fuck bring me 10 vaccines, I'm a fucking Borrego and now I want to vaccinate. You read more than science characters ... 	-0.4939	Negative
Today, the second dose of the Covid19 vaccine has been placed in the users and the workers of the residence of ... 	0.0	Neutral
the next covid-19 vaccine from johnson&amp;johnson is 72% effective with one shot. 	0.4767	Positive
"""Covid-19: Covid-19: Without side effects, the Pfizer vaccine in the European Union"" #Coronavirus "	0.0	Neutral
great news. single dose and vaccine can be stored at normal fridge temperature for months. 	0.6249	Positive
Third vaccine approved in the European Union. 	0.4215	Positive
It would also be the cock that did not give them our vaccines to England 	-0.1531	Negative
and for when you run out of the # Covid19 Chollo here I leave my ideas #modern #Astrazeneca #pfizer 	-0.0516	Negative
There is no vaccine for human stupidity. 	-0.6249	Negative
'The EU pays Astrazeneca 870 million for its coreavirus vaccine: equivalent to 1.78 euros per dose' ... 	0.0	Neutral
The EMA recommends the authorization of the third vaccine against the Covid19. 	0.2263	Positive
| Cantabria will receive in the first two weeks of February 14,400 new doses of vaccines against # Covid19 1 ... 	0.0	Neutral
Another asking for more vaccines .... Please search under the stones, see if we find it? A new Balear Imp ... 	0.3744	Positive
summary on #covid19 vaccines: 1⃣ pfizer / moderna: 95%* 2⃣ astrazeneca: 62%*3⃣j &amp; j: 66% (57% versus south afri… 	0.0	Neutral
if you think there are disparities in #covid19 vaccines access in europe, you have to see what patients with lung c… 	0.0	Neutral
The idea is to end the virus through the vaccine and also leave the uncomfortable mask! ... I say. anyway. I'm f… 	-0.4753	Negative
Regulation to the export of vaccines against the Covid19 from the EU will finally affect the border between i ... 	0.0	Neutral
And where the pussy are the vaccines? Donaten!? 	0.0	Neutral
Search, look for your first aid kit and you will be surprised by the result ... (dedicated to anti-vaccine strands) ... 	0.2263	Positive
More than 7 million vaccines set. Almost 5 million with a single dose and more than 2 million immunized 	0.0	Neutral
Worse than Lombardia, in terms of vaccines put on, only Liguria is doing it. What a disaster !! 🤦♂️ 	-0.8309	Negative
The Kenya Peasant also expects the coreavirus vaccine via _pais 	0.0	Neutral
europe could use more covid-19 vaccine, too. just saying. 	0.0	Neutral
It seems that China has zero interest by massively vaccinating its population.Da the vaccine, follow with its polite ... 	0.4588	Positive
#covid19 #vaccine 	0.0	Neutral
Great night dealing with the subject of the #Astrazeneca vaccine. Personally I see more benefits than ... 	0.7902	Positive
Safety report of vaccines against # Covid19 in special AstraZeneca. ... 	0.6705	Positive
#covid19 vaccines vs variants—determining how much immunity is enough | | jama network 	0.0	Neutral
Yes, but a contraceptive pill leads to a lot of years in the market, the # Covid19 vaccines ... 	0.2144	Positive
The #Covid vaccine is the final point of a long scientific process; In recent months, more than 250 groups cien ... 	0.0	Neutral
For resources that is not, what faces is missing and vaccines, go ahead ... 	-0.296	Negative
"Let's see, the complication itself is not ""click"". But this vaccine implies: ☑️ Preparation, dissolution and dosage d ... "	0.0	Neutral
