Tweets	Country	Compound	Analysis
#Kuwait announced the lifting of the partial curfew at the end of Ramadan. Commercial activities will be open durin… 	IT	0.0	Neutral
People who have only had the first dose of a Covid-19 vaccine will still be able to claim Italy’s health pass for q… 	IT	0.0	Neutral
#DrFauci caught out again as he states that people that have had the #Covid19 #vaccine do not require masks yet he… 	IT	0.0	Neutral
Japan supports Libya’s COVID-19 vaccine rollout  via 	IT	0.3612	Positive
In July, Latium will inaugurate 8 new hubs where young people can get vaccinated to be able to spend their summer h… 	IT	0.0	Neutral
#TheNewYorker coverage offers tantalizing glimpse into a post-pandemic world. Thanks #COVID #vaccine we are closer… 	IT	0.4404	Positive
Meet the Four Kinds of People Holding Us Back From Full Vaccination  via 	IT	0.0	Neutral
Join us for the webinar on COVID Vaccines scheduled for May 27, 2021.Submit your abstract and register now!… 	IT	0.3595	Positive
Vaccine Day 	IT	0.0	Neutral
#Submit your research papers #Annals of clinical and laboratory research #openaccess #publication #PeerReview… 	IT	0.0	Neutral
  Good morning dear sis hope you slept well after the vaccine take care at work sending love 	IT	0.9509	Positive
  Good morning dear, hope you slept well after the vaccine, great day take care sending love 	IT	0.9682	Positive
Yes  what’s the actual plan? Where is the national vaccine campaign? Encourage Australians to be va… 	IT	0.7476	Positive
If you have a 12+, live in Pasadena and that 12+ is or will soon be vaccinated, there's a Youth 12+ Vaccine Photos… 	IT	0.0	Neutral
Everyone’s going back to cinemas meanwhile I’m  🧍‍♀️ Still waiting for that damn vaccine Found out yesterday tho… 	IT	-0.4019	Negative
 May 26 is _mr vaccine day in Rome in Italy	IT	0.0	Neutral
_Hiram   Well they were supposed to be the vaccine engine of the planet and they hav… 	IT	0.2732	Positive
     Onus is on you to prove vaccine safety and efficiency vs covid.	IT	0.6486	Positive
Vaccine lotto worked! Okay, time for other states to copy and paste. 	IT	0.2942	Positive
One 49-year-old woman died as a result of severe coagulation disorders, while a 35-year-old woman developed a pulmo… 	IT	-0.7351	Negative
It’s Tuuueeesssdddaaayyyy!!! New video about the COVID vaccine is up. Watch like, share and subscribe! 	IT	0.7067	Positive
Lazio area vaccine eligibility. And the infection rate keeps going down. 	IT	0.0	Neutral
Vaccine made me a professional pussy eater	IT	0.0	Neutral
If you could get a vaccine that prevents you ever hearing one specific song, what song would it be? 	IT	0.0772	Positive
there so much i want to do... i just need someone to inject three.js knowledge into my body along with the vaccine!	IT	0.2193	Positive
 You've done vaccine research in a lab have you Ian? While dressed as a sexy scientist chick?You absolute joke.	IT	0.7149	Positive
Se confermato, questo studio sarà importante.Platelet Activation by Vaccine-Induced Immune Thrombotic Thrombocytop… 	IT	0.296	Positive
The things I see .. like this news report about a healthy woman that is found dead after a #BloodClot No mention… 	IT	-0.3182	Negative
Waiting for the vaccine  #COVID19 #COVIDVaccination #rieti 	IT	0.0	Neutral
Getting my second shot #AstraZeneca #vaccine  bags under my eyes included 	IT	0.0	Neutral
French pharmaceuticals giant #Sanofi reported positive results in trials of its belated COVID-19 jab, raising hopes… 	IT	0.5574	Positive
Excuse me MR or SIR Clinton, why are YOU are still pushing people in what was the USA to die?  Don't you think twis… 	IT	-0.5574	Negative
Agilex Biolabs' Toxicology Tapped for SARS-CoV-2 Vaccine Research	IT	0.0	Neutral
These kids are leading the way for Covid-19 vaccine research	IT	0.0	Neutral
  Good morning and good day sending good luck and much love for your vaccine ❤ 	IT	0.9423	Positive
  Good morning and great vaccine today for you dear sis  	IT	0.8625	Positive
  Good morning and wish all the best for your vaccine today God bless you! ❤ 	IT	0.9324	Positive
  Good morning and Tuesday to you both great good luck for your vaccine today sending lo… 	IT	0.9169	Positive
  CDC admits that vaccines contain cell lines derived from aborted human fetuses. The CDC says… 	IT	0.296	Positive
All Adults in Germany Can Book a Vaccine from June 7 	IT	0.0	Neutral
 Well, the Opus Dei priests, numeraries, supernumeraries here in Canada are all in on vaccinations, mask… 	IT	0.2732	Positive
just got my vaccine let’s go	IT	0.0	Neutral
_Forest  Why would taxpayers get revenue from sales made by a private company? You know that Pfizer's… 	IT	0.0	Neutral
 1/2) 95% &lt; 1. Also less is known about  the effect of the vaccine on asymptomatic infection and transmiss… 	IT	0.0	Neutral
Lisa has experienced postmenopausal bleeding after receiving the first dose of the AstraZeneca vaccine. 	IT	0.0	Neutral
Damien's wife, Kimberley, passed away in March 24th - nine days after receiving the AstraZeneca vaccine. The corone… 	IT	0.0	Neutral
A few countries have ordered enough #COVID19 vaccine doses to vaccinate their entire populations 3X over! Tell lead… 	IT	0.0	Neutral
"""Sharing immediately available excess doses is a minimum, essential and emergency stop-gap measure, and it is neede… "	IT	0.0516	Positive
        _Byanyima… 	IT	0.0	Neutral
EU to back expansion of vaccine production capacity in Africa  via 	IT	0.0	Neutral
Fake Covid vaccine and test certificate market is growing, researchers say 	IT	-0.34	Negative
 Because you’re not 100% safe even with the vaccine at this moment, for different reasons.	IT	-0.3412	Negative
#Bahrain agreed with Greece and Cyprus on the mutual recognition of #COVID-19 vaccine certificates	IT	0.2732	Positive
The French pharmaceutical company #Sanofi reported positive results from a trial of its COVID-19 #vaccine, which ha… 	IT	0.5574	Positive
If they are saying people have not died from the #Covid19 #vaccine in the UK this is categorically not true as I kn… 	IT	0.1511	Positive
 Dear Nazi! Equality of what? An unsafe and dangerous vaccine for everybody against a curable flu? A un… 	IT	-0.5792	Negative
BRAZIL—“Vaccine Saves”Unidos Pela Vacina movement sponsors advertising on Christ The Redeemer Statue.Billionair… 	IT	0.0	Neutral
Delay in giving second jabs of  #Pfizer vaccine improves immunity #COVID19 #vaccino  	IT	0.4404	Positive
Vaccine second jabs pass 20 million milestone 	IT	0.0	Neutral
#EU has a bit of an issue as a possible 16.5 million #jobs across #Europe could be lost in the #TouristSeason over… 	IT	-0.3182	Negative
More than 20 #Million UK adults receive both doses of COVID-19 vaccine -  #Coronavirus… 	IT	0.0	Neutral
  Actually he means Polio Vaccine Don’t take as wrong #PappuKaPolioVaccine	IT	-0.4767	Negative
Got my first dose today at the Italian Defense Vaccine Centre #VaccineForAll #Vaxzevria 	IT	0.128	Positive
" Sorry Mr. Ezra, can you please explain WHERE exactly in this vid you hear the word ""REFUSE""? They just… "	IT	0.25	Positive
#Music fan?#EricClapton blasts #Covid19 restrictions and explains his bad reaction to the #AstraZeneca #vaccine 	IT	-0.5423	Negative
Got my vaccine yesterday, in rather beautiful Roman hospital 	IT	0.5994	Positive
Abhi to BJP vaccine hi hai India main...Samajwadi vaccine bana li kya? Political pappus like you are a curse...shou… 	IT	0.3612	Positive
 In the meantime, what strikes me, is that Italy hasn’t yet even planned a national vaccine ledger.	IT	-0.3612	Negative
Jesus, this isn't a racial thing, but why does the wife of  keep going on about her having taken the v… 	IT	0.0	Neutral
8-month-old from NY is youngest COVID vaccine recipient in the world  via 	IT	0.0	Neutral
Sinovac vaccine doses distributed to 44 municipalities across Libya 	IT	0.0	Neutral
CDC employees refusing v. Hmm...	IT	-0.4019	Negative
In 48 hours I'll get my vaccine. Cant wait.	IT	0.0	Neutral
Peter is about to make sure everyone in the monastery gets the Covid vaccine. 	IT	0.3182	Positive
 Thank for  for saying that. Congress can’t also escape from what some of their leaders said about… 	IT	0.4939	Positive
“As of 35 days after the first dose, there is an 80% reduction in COVID infections, 90% reduction in hospitalisatio… 	IT	0.0	Neutral
 you sure it wasn't in relation to vaccine?	IT	0.3182	Positive
The headline tells you that the #Covid19 variant they sau is from #India has hospitalized 6 people in #Scotland, on… 	IT	0.0	Neutral
Director ⁦⁩ Axel van Trotsenburg visiting the ⁦⁩ and ⁦⁩ Good discussion on COV… 	IT	0.4404	Positive
On a side note I switched to al balqaa’ for my vaccine on the 26th of april after hearing a few of my friends got t… 	IT	0.4767	Positive
Be a part of the Covid Vaccines webinar scheduled for May 27, 2021. #Submit your Abstracts and register now.… 	IT	0.0	Neutral
Coronavirus LIVE Updates: India posts over 3.26 lakh new cases, 3890 deaths; PM Modi reviews situation	IT	0.0	Neutral
Case Study: Intelligent Multi-camera System for Quality Control of Vaccine Bottles	IT	0.4588	Positive
Just 12 People Are Behind Most Vaccine Hoaxes On Social Media, Research Shows	IT	0.0	Neutral
Clearing Up a Misconception: COVID-19 Vaccines and Infertility/Pregnancy Loss	IT	-0.3182	Negative
#Pubs have been disappearing for years, now will go for good?And with #lockdowns at least we have politics and… 	IT	0.0	Neutral
My vaccine day #vaccine #moderna #salutelazio #fight #campus #campusbiomedico #Roma  	IT	0.0	Neutral
CDC website: “Over 245 million doses of COVID-19 vax were administered in the USAs from Dec. 14, 2020, through May… 	IT	0.0	Neutral
Sweden records 30,000 suspected side effects from Covid vaccines, with AstraZeneca’s jab linked to more than half o… 	IT	-0.2263	Negative
Football stars hail COVID-19 vaccine as the 'best defence' of 2021 -  #Coronavirus #Covid19… 	IT	0.7096	Positive
One of my two Bosses, despite underlying conditions, waited his turn to get a #COVID19 vaccine. Bravo  … 	IT	0.0	Neutral
Delaying a COVID vaccine’s second dose boosts immune response #Nature   	IT	0.5423	Positive
American TV Host and #celebrity #BillMaher tests positive for #Covid19 after having the #vaccine Did he had a 'WT… 	IT	0.5574	Positive
Super  Exclusive by _fonte casts a huge shadow over Italy’s hopes of developing its own COVID-19 v… 	IT	0.8591	Positive
Lithuania will donate 200,000 doses of coronavirus vaccines to countries in the Eastern Partnership group: Ukraine,… 	IT	0.0	Neutral
 You don’t believe in surgical strike neither in Vaccine..So Delhi govt can buy from foreign Market	IT	-0.128	Negative
 @_BarringtonII First also for my Italy: and then say apertis verbis that the vaccine is a mandatory… 	IT	0.0	Neutral
COVID research: a year of scientific milestones	IT	0.0	Neutral
 No argument here. It’s how we will achieve herd immunity. I had my first vaccine and astonishingly… 	IT	-0.5719	Negative
 You got vaccinated and had bad side effects.	IT	-0.5423	Negative
#whales #ClimateEmergency in this world we are united to save two whales in distress, we help people, then we make… 	IT	0.6486	Positive
The number of adverse reactions from the 2 shots seems relatively small when compared to the 19,961 reports linked… 	IT	-0.296	Negative
  LOL, I work part time in a drugstore and the amount of hydroquinone (skin bleaching ointmen… 	IT	0.5473	Positive
 Okay. Grazie. I’ll try not to pass out. . How were your side effects?	IT	0.2263	Positive
Save the date! 26 May 2021 at 14:00hrs CETThe launch of the Global Rangeland Atlas Join us:… 	IT	0.69	Positive
  _Insider This.	IT	0.0	Neutral
Mary J. Blige, U2 - One (Official Music Video)  via 	IT	0.0	Neutral
_Collins _Roles_Author    _WBerry  … 	IT	0.0	Neutral
 _Collins _Roles_Author    _WBerry… 	IT	0.0	Neutral
_Roles_Author _Collins    _WBerry  … 	IT	0.0	Neutral
J Lo is that you?#Albania#Eurovision #Eurovision2021 #eurowizja	IT	0.0	Neutral
_Elyse More time for the hobby	IT	0.0	Neutral
 Add buy a Lisa...	IT	0.0	Neutral
"Must read review covers ""currently available noninvasive imaging techniques, provides insights into their strengths… "	IT	0.0	Neutral
Use of Social Media by Cardiovascular Health Care Professionals: Is Patient Privacy Respected?Evidently this is no… 	IT	0.4939	Positive
"Must read review covers ""emerging hybrid intracoronary imaging techniques and discusses their strengths, limitation… "	IT	0.4019	Positive
"""A deep neural network machine learning classifier can characterize the severity of diastolic dysfunction and ident… "	IT	-0.4215	Negative
"""Machine learning can integrate echocardiographic measurements to augment the classification of disease severity in… "	IT	0.0	Neutral
"""High-risk morphological attributes offered additive prognostic value to coronary physiology and may optimize selec… "	IT	0.6808	Positive
A smaller minimum stent area was associated with clinical events, driven mainly by TLR, and significant malappositi… 	IT	0.2023	Positive
Hybrid imaging with PET and CT of pericoronary adipose tissue has incremental prognostic value… 	IT	0.0	Neutral
  The Big Screen Is Back: Schwarzenegger, J.J. Abrams e Jason Blum celebrano il ritorno alle sale… 	IT	0.0	Neutral
Lighthouse•#wood #woodworking #design #draw #illustration #lighthouse #landscape #oldschooltattoo #penart… 	IT	0.0	Neutral
_J  _Redondo_F  Thank youu! 🤗	IT	0.4199	Positive
Dr. _D_Landis, , president of  and former foreign minister, analyzes the Israeli-Palesti… 	IT	0.0	Neutral
  _Villa75 why not...	IT	0.0	Neutral
 prongs he’s the only j guy that is not toxic	IT	0.0	Neutral
 j. I vote #Louies for #BestFanArmy at the #iHeartAwards	IT	0.0	Neutral
I've already published previews of this cover a few time, but never posted it in full.. and since it's one of my fa… 	IT	0.0	Neutral
  Batman: Caped Crusader | Un reimagining prodotto da J.J. Abrams, Bruce Timm e Matt Reeves… 	IT	0.0	Neutral
_bias_j_hope Don't break the chain:&gt;Height:170cmsign: SagittariusTattoos:I don't haveFav Color: Yellow, Blue… 	IT	0.0	Neutral
    Jesus.  Why are all these MAGA boomers such bootlickers for Israe… 	IT	0.0	Neutral
_Rob_J Idem	IT	0.0	Neutral
 This is IRAn, who just support palestinian	IT	0.4019	Positive
 _Carpenter15   It has hyperinflated house prices making it harder for evreyone. It w… 	IT	0.0	Neutral
_f_leon Yeah! 	IT	0.3595	Positive
dear, due to the high number of expected participants, it will also be possible to participate in the webinair on Z… 	IT	0.4404	Positive
You can access the event here:Youtube:  Zoom:  LinkedIn: 	IT	0.0	Neutral
 j come jesus	IT	0.0	Neutral
 Great!	IT	0.6588	Positive
_Rob_J Buy the deep no?	IT	-0.296	Negative
 Bet do work! 	IT	0.0	Neutral
 Mos definitely! Wya	IT	0.4574	Positive
Make loud moves in silence! 🧠	IT	0.0	Neutral
 Came to a team here in italy for 2 weeks for playouts	IT	0.0	Neutral
 You didn’t like when j Cole called his fans gay	IT	0.3612	Positive
"The J. Geils Band, ""Whammer Jammer""                              #OnAir #Harmonica"	IT	0.0	Neutral
Doctor J 	IT	0.0	Neutral
  _ImPositiva _simply  _dasuaconta Happy Birthday!	IT	0.6114	Positive
New opportunities same mindset!  	IT	0.4389	Positive
A conversation this Thursday on #fisheries' place in the Post2020 GBF — Panel includes J.Appiott of … 	IT	0.0	Neutral
Space Port•#picture #photo #design #art #artwork #photography #photoshoot #landscape #landscapephotography #space… 	IT	0.0	Neutral
Live now, the Global Info Session 2021: Last chance of the year to discover how and why to apply to #Luiss with… 	IT	0.25	Positive
Keep some words to yourself, actions speak louder than words 🧠	IT	0.0	Neutral
"""The thinner-strut Firesorb BRS was noninferior to CoCr-EES for the primary endpoint of 1-year angiographic in-segm… "	IT	0.0	Neutral
"""The PASCAL repair system demonstrated sustained favorable outcomes at 2 years in FMR and DMR patients. Results sho… "	IT	0.4767	Positive
"""In patients undergoing PCI of complex lesions with large-bore access, radial vs. femoral access is associated with… "	IT	0.0	Neutral
 _Tomlinson _Styles FUCK WHY NO J JATE UOU WGAT	IT	-0.8001	Negative
Dude obviously don’t know basketball... 🤦‍♂️🤷‍♂️	IT	0.0	Neutral
_DreadedUp Straight 	IT	0.2263	Positive
Opportunity has to be given for a result to happen!	IT	0.4753	Positive
TOMORROW 19 MAY  Transatlantic roundtable on human mobility organized by  ! It will feature the contri… 	IT	0.0	Neutral
Beautifully curated collection of science stories wrapped up in 7 chapters corresponding to 7 #OceanDecade Outcomes… 	IT	0.5719	Positive
_J_Lind Ah! Yay! This looks great. I am not sure if I'll be able to make it yet but I really really hope so.	IT	0.8611	Positive
"""40% of pts with NSTEMI with MVD and cardiogenic shock underwent multivessel PCI, with ⬇ in-hospital mortality but… "	IT	-0.3818	Negative
"""Patients with second-generation drug-eluting stent thrombosis were associated with higher mortality irrespective o… "	IT	0.0	Neutral
"""Cancer patients have a higher risk of thrombotic and ischemic events after PCI, identifiable by a high dual antipl… "	IT	-0.7579	Negative
"""Earlier ECMO support was associated with improved clinical outcomes in patients with refractory cardiogenic shock""… "	IT	0.7003	Positive
"""The low-dose Ranger DCB demonstrated significantly better effectiveness than standard PTA through 1 year and a goo… "	IT	0.4404	Positive
@_r0yart @_itissoroush_  _omo _art   _rain_gold… 	IT	0.0	Neutral
"""COVID-19 ACS patients presented later and had increased in-hospital mortality... Excessive rates of and mortality… "	IT	0.2732	Positive
"""Combined data from 5 landmark ICD trials suggest that the underlying arrhythmic substrate rather than the ICD ther… "	IT	0.0772	Positive
 My account would get nuked by j**k	IT	0.0	Neutral
  _Commission   _Denormandie Terrible!...	IT	0.0	Neutral
I'm not young enough to know everything.― J.M. Barrie	IT	0.0	Neutral
J cole my baby you did THAT!!🥺	IT	0.0	Neutral
_Ashdrake _j_brown  Look at finex BTC	IT	0.0	Neutral
When J said “theres nobody like Jesus” I realized this is Justin lmaooo	IT	0.3612	Positive
PINKSHOPPING: '☑️ adidas Stan Smith J, Scarpe da Ginnastica, Ftwr White/Ftwr White/Real Pink S18, 36 EU Prezzo i… 	IT	0.0	Neutral
J.Cole sends wisdom overtime	IT	0.5267	Positive
Tuesday May 18, at 3.30 pm, the Global Info Session 2021: Last chance of the year to discover how and why to apply… 	IT	0.25	Positive
 Broken Flowers (J.J.).	IT	-0.4767	Negative
My weird food combo for today: -PB&amp;J sandwich-side of pickles -Doritos	IT	-0.1779	Negative
William J Tsamis ( WARLORD / LORDIAN GUARD)RIP ✨ 	IT	0.0	Neutral
J.Cole “Professional” debut for Rwanda, and they’re not even in twitter.Laudable, the silence of the lambs (pun). 	IT	0.0	Neutral
Pretty much my entire life philosophyDrawn by _j 	IT	0.4939	Positive
"Charts: accanto a ""Montero (Call me by your name)"" arriva l'album di J.Cole "	IT	0.0	Neutral
   J cole is way bigger than young boy and has better taste of music	IT	0.4404	Positive
   J cole is better	IT	0.4404	Positive
T.J OSHIE FOR THE WIN!	IT	0.6239	Positive
 _gufo  Applausissimi	IT	0.0	Neutral
__J Drunk always going to happen	IT	-0.34	Negative
   Read Trump on Telegram and insist: Trump must leave his first occupation to… 	IT	-0.0516	Negative
Get ready!  Pentecost Ecumenical Vigil: Saturday, May 22, 2021, 09 pm (Rome time).To know the transmission chan… 	IT	0.4199	Positive
 Inta mush bas read the room, inta find the nearest window &amp; j*mp.	IT	0.0	Neutral
_o_n_a_than Full on ...	IT	0.0	Neutral
Would you have believed you would turn into a J. Major nodding fanboy — no — But listen to this speech &amp; tell me he… 	IT	-0.296	Negative
 I'll litterally throw you 700 meters in the sky/j	IT	0.0	Neutral
  this attitude is what brought china to close up, I also feel that could be the case but becaus… 	IT	0.0	Neutral
The last enemy that shall be destroyed is death.― J.K. Rowling	IT	-0.7717	Negative
_j The game is afoot, their time is running out and their support has almost dwindled to nothing	IT	0.4019	Positive
 Hello Friends, Allies, Partners, Anciens, Alumni, and future NATO Defense College (NDC) Course Members! ✉️ Her… 	IT	0.5983	Positive
When j Cole start rapping about mowing the lawn and having to take morphine cuz of back pain 	IT	-0.5106	Negative
J Cole need to rap about back problems n his family n shit and then maybe I’ll tune in	IT	-0.743	Negative
REGISTRATION IS NOW OPEN!Join the virtual Commitment to Justice in #JesuitHigherEd Conference!Welcome and openi… 	IT	0.7639	Positive
Venom or Carnage?•#original #design #illustration #sketch #draw #sketchbook #autodesketchbook #sketchbook… 	IT	0.0	Neutral
How to do ultrasound-guided distal radial artery puncture?A picture is worth a thousand words..… 	IT	0.2263	Positive
Official Statistics: Trade and #Investment factsheets (partner names beginning with J to L) -… 	IT	0.0	Neutral
 _Clayton92 If Wentz doesn't get hurt sure, but you still did trade your QB after firing your HC and… 	IT	-0.4005	Negative
Yo man this shit is LIT ASF J COLE #TheOffSeason #JCole 	IT	-0.6428	Negative
30 Glamorous Color Photos of Diane McBain in the 1960s  #vintage #Startups 	IT	0.5106	Positive
Vivid Vintage Photos of London in 1969  #vintage #Startups 	IT	0.0	Neutral
Pictures of Elton John With His Parents at Their Apartment in London, 1971  #Startups… 	IT	0.0	Neutral
Amazing Vintage Photos of the Marine Angel Going Through Drawbridges on the Chicago River in 1953… 	IT	0.5859	Positive
35 Cool Photos Show the 1960s Women’s Hairstyles  #Startups #vintage 	IT	0.3182	Positive
"_Nation06    ""Are you listening to the scientists?"" Does the exact opposite of what the CDC says."	IT	0.0	Neutral
 i’m going to live forever anyway. j can wait 420 years	IT	0.0	Neutral
_j Yes it is! PS5 to play two weeks a year with the ExclusivesNintendo Switch for my wife and kidsAnd… 	IT	0.6588	Positive
The Most Famous Costume in Movie History Was Probably the “Little Tramp” Outfit Worn by Charlie Chaplin… 	IT	-0.296	Negative
So the #NHS has admitted it has a backlog on #MedicalOperations?Yet a #HealthcareWorker I know knows no one that… 	IT	-0.2023	Negative
 She does not know anyone that has had covid yet boyfriend's friend has died from AZ vax and one sh… 	IT	-0.1027	Negative
Moderna leveraging its ‘AI factory’ to revolutionise the way diseases are treated | ZDNet 	IT	0.0	Neutral
Today my grandma, 94 years old, had her 2nd jab #Moderna , in her traditional #Sardiniandress : bravery, stamina, h… 	IT	0.6597	Positive
Donna Moderna Full Size Free Gift (#makeup #quilibra #concealer  via   #quilibra	IT	0.7351	Positive
The #BBC has been declared 'not fit for purpose' amidst revelations about a #PrincessDiana interview they were dish… 	IT	-0.2755	Negative
  Knives Out 2: anche Kate Hudson entra nel cast   #film #cinema #serietv 	IT	0.0	Neutral
Would like to take this opportunity to extend my sincere apologies to #FishingForLeave and the #FishingIndustry aft… 	IT	0.8462	Positive
5 of 5 stars to Send Judah First by Brian C. Johnson 	IT	0.0	Neutral
Johnson  via _finanza	IT	0.0	Neutral
   the research of reporter D Dean Joh… 	IT	0.0	Neutral
_E_Andre It’s why #Scotland needs to #TakeBackControl #IndyRef2 At this point in time Scotland is the only memb… 	IT	0.0	Neutral
#johnson &amp;johnson ⁦⁩ ⁦⁩ 	IT	0.0	Neutral
Frank Tenney Johnson 	IT	0.0	Neutral
Millions of holidaymakers will defy order not to travel to ‘amber list’ countries, Boris Johnson warned 	IT	-0.2732	Negative
So after the Democrats helped and funded #China to work with the Coronavirus which led to the #pandemic,… 	IT	0.0	Neutral
Nurse who cared for Boris Johnson resigns over ‘lack of respect’ for NHS workers 	IT	0.128	Positive
Report states that #NicolaSturgeon will call for #indyref2 but when the time is right and asks what she is waiting… 	IT	0.0	Neutral
Dublin fears that British Prime Minister Boris Johnson is now ready to completely and unilaterally rewrite the Nort… 	IT	-0.0772	Negative
 I read now that Boris Johnson said you must be careful although some restrictions have been lifted	IT	0.1531	Positive
 I was at the beginning, but haven’t been for some time now. He is not the right one to oppose Boris… 	IT	0.0	Neutral
#BorisJohnson condemns #antisemitism as 'group of people driving around chanting #antisemitic things while waving f… 	IT	-0.5106	Negative
India variant could seriously disrupt lifting of lockdown, says Boris Johnson 	IT	-0.1779	Negative
More #NicolaSturgeon woes and a blow for the #SNP as The Express runs a #poll on #indyref2 and a staggering 89% bel… 	IT	-0.4902	Negative
Right .. stay with me .. #StephenFry told #CambridgeUniversity that they should allow respectful debate of all view… 	IT	0.5994	Positive
 _Johnson   What’s communism	IT	0.0	Neutral
   Indeed, like against the British PM Johnson and against PM Modi of… 	IT	0.3612	Positive
